calciustech	8.0	4.9	2089	Internet Marketing	0.44	Marketing	0.13	SEO	0.12	Sales	0.09	Link Building	0.07	Other Skills	0.15
WhizPool	30.0	5.0	77	iPhone	0.17	Mobile Phone	0.13	PHP	0.12	Android	0.1	Objective C	0.06	Other Skills	0.42
ShamilS	120.0	5.0	188	Software Architecture	0.26	Software Testing	0.21	MySQL	0.17	.NET	0.07	C# Programming	0.04	Other Skills	0.25
technosystem	20.0	4.8	244	Website Design	0.23	PHP	0.16	Graphic Design	0.11	HTML	0.07	Logo Design	0.05	Other Skills	0.38
marjanahmed13	130.0	5.0	3054	Facebook Marketing	0.33	Social Networking	0.21	Internet Marketing	0.13	Twitter	0.07	SEO	0.06	Other Skills	0.2
sanjay2004	20.0	4.9	1651	Website Design	0.27	Graphic Design	0.17	PHP	0.14	Flash	0.06	Logo Design	0.04	Other Skills	0.32
salmanaim	35.0	4.8	352	Video Services	0.21	Animation	0.18	Flash	0.1	After Effects	0.07	Graphic Design	0.07	Other Skills	0.36
xazoo	25.0	4.9	434	Academic Writing	0.28	Report Writing	0.09	Technical Writing	0.09	Accounting	0.07	Articles	0.06	Other Skills	0.41
mmozammil8	15.0	5.0	590	Facebook Marketing	0.51	Social Networking	0.16	Internet Marketing	0.16	Twitter	0.07	Marketing	0.04	Other Skills	0.05
myzealit	10.0	5.0	26	Website Design	0.2	PHP	0.18	Graphic Design	0.17	HTML	0.17	Android	0.04	Other Skills	0.24
linuxfreak1985	12.0	4.9	583	Linux	0.17	PHP	0.13	Email Marketing	0.1	Bulk Marketing	0.08	System Admin	0.07	Other Skills	0.45
IndyaInfo	6.0	4.8	639	Link Building	0.31	SEO	0.3	Internet Marketing	0.21	Marketing	0.06	Advertising	0.02	Other Skills	0.1
BRD11	25.0	4.9	231	Translation	0.36	English (US)	0.09	German	0.07	English (UK)	0.07	Transcription	0.04	Other Skills	0.36
mariadesigns78	30.0	4.9	42	Logo Design	0.35	Graphic Design	0.26	Corporate Identity	0.1	Illustrator	0.06	Photoshop	0.05	Other Skills	0.17
deviphoneipad	25.0	4.9	202	iPhone	0.37	Mobile Phone	0.24	iPad	0.15	Objective C	0.13	Android	0.07	Other Skills	0.03
kchg	25.0	4.9	138	PHP	0.14	MySQL	0.08	Javascript	0.07	HTML	0.05	HTML5	0.05	Other Skills	0.6
OShuqair	35.0	5.0	102	.NET	0.34	C# Programming	0.24	SQL	0.09	ASP	0.08	Visual Basic	0.07	Other Skills	0.18
sonuinfy	35.0	5.0	322	PHP	0.2	Wordpress	0.15	HTML	0.11	CSS	0.1	Website Design	0.08	Other Skills	0.37
rony47	10.0	4.9	1825	Facebook Marketing	0.41	Social Networking	0.16	Internet Marketing	0.09	Twitter	0.08	Advertising	0.03	Other Skills	0.23
NetzPro	15.0	5.0	395	PHP	0.19	Software Testing	0.18	MySQL	0.17	Website Testing	0.11	Website Management	0.1	Other Skills	0.25
ambar	10.0	5.0	201	PHP	0.33	Drupal	0.15	.NET	0.12	Javascript	0.06	Software Architecture	0.06	Other Skills	0.28
theDesignerz	25.0	5.0	322	Graphic Design	0.38	Logo Design	0.2	Photoshop	0.06	Brochure Design	0.05	Banner Design	0.03	Other Skills	0.28
programerstreet	20.0	5.0	73	PHP	0.22	Codeigniter	0.18	Yii	0.11	CakePHP	0.1	Wordpress	0.06	Other Skills	0.32
SQUAREPIXEL	20.0	5.0	146	Video Services	0.24	Animation	0.19	After Effects	0.18	3D Animation	0.16	3D Rendering	0.09	Other Skills	0.14
appstudiozsl	22.0	4.8	11	Mobile Phone	0.38	iPhone	0.38	iPad	0.08	Objective C	0.08	PHP	0.04	Other Skills	0.04
